 variables=y, d, u, v, T
      0.00000000      0.27366179      0.00000000      0.00000000      3.72000000
      0.01000000      0.27267828      0.00402539     -0.00000122      3.73192920
      0.02022226      0.27171693      0.00811190     -0.00000231      3.74375379
      0.03067171      0.27079092      0.01225300     -0.00000383      3.75537800
      0.04135342      0.26989447      0.01645070     -0.00000459      3.76682833
      0.05227253      0.26902442      0.02070767     -0.00000390      3.77810953
      0.06343433      0.26818036      0.02502905     -0.00000231      3.78923226
      0.07484421      0.26735623      0.02942151      0.00000094      3.80024077
      0.08650768      0.26655056      0.03389190      0.00000514      3.81115652
      0.09843039      0.26575841      0.03844723      0.00001051      3.82202420
      0.11061808      0.26497728      0.04309385      0.00001658      3.83287123
      0.12307666      0.26420391      0.04783735      0.00002318      3.84372921
      0.13581214      0.26343604      0.05268236      0.00003000      3.85461945
      0.14883067      0.26267195      0.05763243      0.00003678      3.86555670
      0.16213856      0.26191043      0.06269019      0.00004332      3.87654840
      0.17574222      0.26115107      0.06785743      0.00004940      3.88759276
      0.18964823      0.26039392      0.07313525      0.00005494      3.89868203
      0.20386332      0.25963963      0.07852433      0.00005981      3.90980068
      0.21839434      0.25888922      0.08402509      0.00006401      3.92092892
      0.23324833      0.25814409      0.08963785      0.00006754      3.93204191
      0.24843247      0.25740583      0.09536308      0.00007045      3.94311259
      0.26395408      0.25667622      0.10120143      0.00007281      3.95411167
      0.27982068      0.25595708      0.10715385      0.00007473      3.96500937
      0.29603992      0.25525023      0.11322164      0.00007629      3.97577571
      0.31261964      0.25455747      0.11940642      0.00007760      3.98638147
      0.32956787      0.25388048      0.12571019      0.00007878      3.99679844
      0.34689278      0.25322088      0.13213526      0.00007993      4.00699995
      0.36460276      0.25258011      0.13868422      0.00008115      4.01696073
      0.38270635      0.25195957      0.14535988      0.00008251      4.02665677
      0.40121231      0.25136056      0.15216521      0.00008407      4.03606485
      0.42012958      0.25078436      0.15910327      0.00008586      4.04516180
      0.43946730      0.25023226      0.16617719      0.00008790      4.05392413
      0.45923482      0.24970556      0.17339015      0.00009020      4.06232781
      0.47944168      0.24920559      0.18074530      0.00009276      4.07034808
      0.50009766      0.24873371      0.18824586      0.00009557      4.07795907
      0.52121274      0.24829138      0.19589505      0.00009867      4.08513365
      0.54279712      0.24788012      0.20369613      0.00010202      4.09184291
      0.56486122      0.24750159      0.21165237      0.00010564      4.09805606
      0.58741572      0.24715755      0.21976712      0.00010955      4.10374012
      0.61047151      0.24684991      0.22804373      0.00011374      4.10885984
      0.63403974      0.24658075      0.23648560      0.00011822      4.11337753
      0.65813179      0.24635227      0.24509615      0.00012299      4.11725303
      0.68275930      0.24616686      0.25387888      0.00012806      4.12044350
      0.70793418      0.24602707      0.26283723      0.00013340      4.12290337
      0.73366859      0.24593565      0.27197464      0.00013900      4.12458411
      0.75997497      0.24589553      0.28129454      0.00014485      4.12543435
      0.78686603      0.24590991      0.29080028      0.00015089      4.12539952
      0.81435477      0.24598218      0.30049500      0.00015711      4.12442218
      0.84245447      0.24611603      0.31038158      0.00016350      4.12244087
      0.87117870      0.24631519      0.32046320      0.00017013      4.11939219
      0.90054135      0.24658385      0.33074342      0.00017704      4.11520895
      0.93055662      0.24692619      0.34122817      0.00018491      4.10982566
